Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Långsjöängen 10B,1050000,,,40.0,2842.0,4800.0,2005.0,Mellansjö,Österåker,59.5241087,18.620508
Karlslundsgatan 20,1610000,1495000.0,2.0,60.0,3544.0,,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1610000,1495000.0,2.0,60.0,3544.0,,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1610000,1495000.0,2.0,60.0,3544.0,,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1465000,1495000.0,3.0,68.0,4054.0,2640.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1465000,1495000.0,3.0,68.0,4054.0,2640.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1465000,1495000.0,3.0,68.0,4054.0,2640.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1750000,1695000.0,3.0,77.0,4526.0,3000.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1750000,1695000.0,3.0,77.0,4526.0,3000.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1750000,1695000.0,3.0,77.0,4526.0,3000.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1850000,1650000.0,3.0,68.0,4232.0,3600.0,1989.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1850000,1650000.0,3.0,68.0,4232.0,3600.0,1989.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1850000,1650000.0,3.0,68.0,4232.0,3600.0,1989.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1800000,1695000.0,3.0,68.0,3754.0,4200.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1800000,1695000.0,3.0,68.0,3754.0,4200.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1800000,1695000.0,3.0,68.0,3754.0,4200.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1830000,1595000.0,4.0,96.0,5674.0,6000.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1830000,1595000.0,4.0,96.0,5674.0,6000.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1830000,1595000.0,4.0,96.0,5674.0,6000.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 20,1900000,1795000.0,4.0,86.0,5317.0,5881.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1900000,1795000.0,4.0,86.0,5317.0,5881.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 20,1900000,1795000.0,4.0,86.0,5317.0,5881.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Vaktbergsvägen 21B,1700000,1650000.0,2.0,59.0,3791.0,4908.0,1955.0,Norra,Nynäshamn,58.9056457,17.9470987
Sandstuguvägen 55,1550000,1595000.0,,30.0,1732.0,,,Uttran,Botkyrka,59.1921285,17.8052198
Sandstuguvägen 55,1950000,1895000.0,2.0,39.0,2257.0,3600.0,2016.0,Uttran,Botkyrka,59.1921285,17.8052198
Sandstuguvägen 55,2200000,2095000.0,2.0,52.0,3015.0,,2016.0,Uttran,Botkyrka,59.1921285,17.8052198
Fiskaruddsvägen 7,1650000,1595000.0,1.0,35.0,2587.0,,1997.0,Rönninge,Salem,59.1939891,17.7484631
Fiskaruddsvägen 7,1600000,1695000.0,1.0,35.0,2587.0,,1997.0,Rönninge,Salem,59.1939891,17.7484631
Mariehamnsgatan 10 Entreplan,1700000,1700000.0,2.0,65.0,4226.0,,1978.0,Akalla,Stockholms,59.4147004,17.9218177
Baldergatan 23,1550000,1550000.0,2.0,65.0,3868.0,6132.0,1968.0,Valsta,Sigtuna,59.6170229,17.8350314
Verkstadsgatan 3,1305000,1300000.0,,43.0,3267.0,,1947.0,Norrtälje,Norrtälje,59.766667,18.7
